,N,Type,Loss,method,metric,type_dens
77,100,lapl_gauss_KL_div_adapative_dantzig,0.764949770229,A.D,KL,lapl_gauss
78,100,lapl_gauss_KL_div_adapative_dantzig,0.702239757062,A.D,KL,lapl_gauss
79,100,lapl_gauss_KL_div_adapative_dantzig,0.88427181468,A.D,KL,lapl_gauss
80,100,lapl_gauss_KL_div_adapative_dantzig,0.556491052778,A.D,KL,lapl_gauss
81,100,lapl_gauss_KL_div_adapative_dantzig,0.754102624656,A.D,KL,lapl_gauss
82,100,lapl_gauss_KL_div_adapative_dantzig,1.01751697004,A.D,KL,lapl_gauss
83,100,lapl_gauss_KL_div_adapative_dantzig,0.702239757062,A.D,KL,lapl_gauss
84,100,lapl_gauss_KL_div_adapative_dantzig,0.601209707589,A.D,KL,lapl_gauss
85,100,lapl_gauss_KL_div_adapative_dantzig,0.815503695022,A.D,KL,lapl_gauss
86,100,lapl_gauss_KL_div_adapative_dantzig,0.754102624656,A.D,KL,lapl_gauss
87,100,lapl_gauss_KL_div_adapative_dantzig,0.629036718336,A.D,KL,lapl_gauss
88,100,lapl_gauss_KL_div_adapative_dantzig,0.702239757062,A.D,KL,lapl_gauss
89,100,lapl_gauss_KL_div_adapative_dantzig,0.850039716746,A.D,KL,lapl_gauss
90,100,lapl_gauss_KL_div_adapative_dantzig,0.815503695022,A.D,KL,lapl_gauss
91,100,lapl_gauss_KL_div_adapative_dantzig,0.754102624656,A.D,KL,lapl_gauss
92,100,lapl_gauss_KL_div_adapative_dantzig,0.756597708013,A.D,KL,lapl_gauss
93,100,lapl_gauss_KL_div_adapative_dantzig,0.897044355351,A.D,KL,lapl_gauss
94,100,lapl_gauss_KL_div_adapative_dantzig,0.864511824475,A.D,KL,lapl_gauss
95,100,lapl_gauss_KL_div_adapative_dantzig,0.764949770229,A.D,KL,lapl_gauss
96,100,lapl_gauss_KL_div_adapative_dantzig,0.957983497671,A.D,KL,lapl_gauss
97,100,lapl_gauss_KL_div_adapative_dantzig,0.713371825232,A.D,KL,lapl_gauss
98,100,lapl_gauss_KL_div_adapative_dantzig,0.817844508495,A.D,KL,lapl_gauss
99,100,lapl_gauss_KL_div_adapative_dantzig,0.756597708013,A.D,KL,lapl_gauss
100,100,lapl_gauss_KL_div_adapative_dantzig,0.585600287725,A.D,KL,lapl_gauss
101,100,lapl_gauss_KL_div_adapative_dantzig,0.603220852501,A.D,KL,lapl_gauss
102,100,lapl_gauss_KL_div_adapative_dantzig,0.799469404832,A.D,KL,lapl_gauss
103,100,lapl_gauss_KL_div_adapative_dantzig,0.897044355351,A.D,KL,lapl_gauss
104,100,lapl_gauss_KL_div_adapative_dantzig,0.556491052778,A.D,KL,lapl_gauss
105,100,lapl_gauss_KL_div_adapative_dantzig,0.815503695022,A.D,KL,lapl_gauss
106,100,lapl_gauss_KL_div_adapative_dantzig,0.601209707589,A.D,KL,lapl_gauss
107,100,lapl_gauss_KL_div_adapative_dantzig,0.957983497671,A.D,KL,lapl_gauss
108,100,lapl_gauss_KL_div_adapative_dantzig,0.9092658525,A.D,KL,lapl_gauss
109,100,lapl_gauss_KL_div_adapative_dantzig,0.932073746926,A.D,KL,lapl_gauss
110,100,lapl_gauss_KL_div_adapative_dantzig,0.613039097399,A.D,KL,lapl_gauss
111,100,lapl_gauss_KL_div_adapative_dantzig,0.897044355351,A.D,KL,lapl_gauss
112,100,lapl_gauss_KL_div_adapative_dantzig,0.9092658525,A.D,KL,lapl_gauss
113,100,lapl_gauss_KL_div_adapative_dantzig,0.756597708013,A.D,KL,lapl_gauss
114,100,lapl_gauss_KL_div_adapative_dantzig,0.88427181468,A.D,KL,lapl_gauss
115,100,lapl_gauss_KL_div_adapative_dantzig,0.799469404832,A.D,KL,lapl_gauss
116,100,lapl_gauss_KL_div_adapative_dantzig,0.932073746926,A.D,KL,lapl_gauss
117,100,lapl_gauss_KL_div_adapative_dantzig,0.75494603831,A.D,KL,lapl_gauss
118,100,lapl_gauss_KL_div_adapative_dantzig,0.614538690429,A.D,KL,lapl_gauss
119,100,lapl_gauss_KL_div_adapative_dantzig,0.764949770229,A.D,KL,lapl_gauss
120,100,lapl_gauss_KL_div_adapative_dantzig,0.702239757062,A.D,KL,lapl_gauss
121,100,lapl_gauss_KL_div_adapative_dantzig,0.957983497671,A.D,KL,lapl_gauss
122,100,lapl_gauss_KL_div_adapative_dantzig,1.01751697004,A.D,KL,lapl_gauss
123,100,lapl_gauss_KL_div_adapative_dantzig,0.817844508495,A.D,KL,lapl_gauss
124,100,lapl_gauss_KL_div_adapative_dantzig,0.756597708013,A.D,KL,lapl_gauss
125,100,lapl_gauss_KL_div_adapative_dantzig,0.756597708013,A.D,KL,lapl_gauss
126,100,lapl_gauss_KL_div_adapative_dantzig,0.629036718336,A.D,KL,lapl_gauss
127,100,lapl_gauss_KL_div_adapative_dantzig,0.614538690429,A.D,KL,lapl_gauss
128,100,lapl_gauss_KL_div_adapative_dantzig,0.799469404832,A.D,KL,lapl_gauss
129,100,lapl_gauss_KL_div_adapative_dantzig,0.664043736913,A.D,KL,lapl_gauss
130,100,lapl_gauss_KL_div_adapative_dantzig,0.614538690429,A.D,KL,lapl_gauss
131,100,lapl_gauss_KL_div_adapative_dantzig,0.713371825232,A.D,KL,lapl_gauss
132,100,lapl_gauss_KL_div_adapative_dantzig,0.813711554066,A.D,KL,lapl_gauss
133,100,lapl_gauss_KL_div_adapative_dantzig,0.9092658525,A.D,KL,lapl_gauss
134,100,lapl_gauss_KL_div_adapative_dantzig,0.75494603831,A.D,KL,lapl_gauss
135,100,lapl_gauss_KL_div_adapative_dantzig,0.614538690429,A.D,KL,lapl_gauss
136,100,lapl_gauss_KL_div_adapative_dantzig,0.664043736913,A.D,KL,lapl_gauss
137,100,lapl_gauss_KL_div_adapative_dantzig,0.556491052778,A.D,KL,lapl_gauss
138,100,lapl_gauss_KL_div_adapative_dantzig,0.799469404832,A.D,KL,lapl_gauss
139,100,lapl_gauss_KL_div_adapative_dantzig,0.756597708013,A.D,KL,lapl_gauss
140,100,lapl_gauss_KL_div_adapative_dantzig,0.556491052778,A.D,KL,lapl_gauss
141,100,lapl_gauss_KL_div_adapative_dantzig,0.817844508495,A.D,KL,lapl_gauss
142,100,lapl_gauss_KL_div_adapative_dantzig,0.75494603831,A.D,KL,lapl_gauss
143,100,lapl_gauss_KL_div_adapative_dantzig,0.629036718336,A.D,KL,lapl_gauss
144,100,lapl_gauss_KL_div_adapative_dantzig,0.75494603831,A.D,KL,lapl_gauss
145,100,lapl_gauss_KL_div_adapative_dantzig,0.601209707589,A.D,KL,lapl_gauss
146,100,lapl_gauss_KL_div_adapative_dantzig,0.799469404832,A.D,KL,lapl_gauss
147,100,lapl_gauss_KL_div_adapative_dantzig,0.9092658525,A.D,KL,lapl_gauss
148,100,lapl_gauss_KL_div_adapative_dantzig,0.702239757062,A.D,KL,lapl_gauss
149,100,lapl_gauss_KL_div_adapative_dantzig,0.850039716746,A.D,KL,lapl_gauss
150,100,lapl_gauss_KL_div_adapative_dantzig,0.850039716746,A.D,KL,lapl_gauss
151,100,lapl_gauss_KL_div_adapative_dantzig,1.01751697004,A.D,KL,lapl_gauss
152,100,lapl_gauss_KL_div_adapative_dantzig,0.75494603831,A.D,KL,lapl_gauss
153,100,lapl_gauss_KL_div_adapative_dantzig,0.76704190863,A.D,KL,lapl_gauss
154,100,lapl_gauss_KL_div_adapative_dantzig,0.614538690429,A.D,KL,lapl_gauss
155,100,lapl_gauss_KL_div_adapative_dantzig,0.601209707589,A.D,KL,lapl_gauss
156,100,lapl_gauss_KL_div_adapative_dantzig,0.932073746926,A.D,KL,lapl_gauss
157,100,lapl_gauss_KL_div_adapative_dantzig,0.9092658525,A.D,KL,lapl_gauss
158,100,lapl_gauss_KL_div_adapative_dantzig,0.664043736913,A.D,KL,lapl_gauss
159,100,lapl_gauss_KL_div_adapative_dantzig,0.603220852501,A.D,KL,lapl_gauss
160,100,lapl_gauss_KL_div_adapative_dantzig,0.601209707589,A.D,KL,lapl_gauss
161,100,lapl_gauss_KL_div_adapative_dantzig,0.629036718336,A.D,KL,lapl_gauss
162,100,lapl_gauss_KL_div_adapative_dantzig,0.664043736913,A.D,KL,lapl_gauss
163,100,lapl_gauss_KL_div_adapative_dantzig,0.815503695022,A.D,KL,lapl_gauss
164,100,lapl_gauss_KL_div_adapative_dantzig,0.88427181468,A.D,KL,lapl_gauss
165,100,lapl_gauss_KL_div_adapative_dantzig,0.664043736913,A.D,KL,lapl_gauss
166,100,lapl_gauss_KL_div_adapative_dantzig,0.799469404832,A.D,KL,lapl_gauss
167,100,lapl_gauss_KL_div_adapative_dantzig,0.811449187114,A.D,KL,lapl_gauss
168,100,lapl_gauss_KL_div_adapative_dantzig,0.754102624656,A.D,KL,lapl_gauss
169,100,lapl_gauss_KL_div_adapative_dantzig,0.811449187114,A.D,KL,lapl_gauss
170,100,lapl_gauss_KL_div_adapative_dantzig,0.817844508495,A.D,KL,lapl_gauss
171,100,lapl_gauss_KL_div_adapative_dantzig,0.811449187114,A.D,KL,lapl_gauss
172,100,lapl_gauss_KL_div_adapative_dantzig,0.756597708013,A.D,KL,lapl_gauss
173,100,lapl_gauss_KL_div_adapative_dantzig,1.01751697004,A.D,KL,lapl_gauss
174,100,lapl_gauss_KL_div_adapative_dantzig,0.613039097399,A.D,KL,lapl_gauss
175,100,lapl_gauss_KL_div_adapative_dantzig,0.702239757062,A.D,KL,lapl_gauss
176,100,lapl_gauss_KL_div_adapative_dantzig,0.817844508495,A.D,KL,lapl_gauss
177,100,lapl_gauss_KL_div_adapative_dantzig,0.614538690429,A.D,KL,lapl_gauss
178,100,lapl_gauss_KL_div_adapative_dantzig,0.613039097399,A.D,KL,lapl_gauss
179,100,lapl_gauss_KL_div_adapative_dantzig,0.764949770229,A.D,KL,lapl_gauss
180,100,lapl_gauss_KL_div_adapative_dantzig,0.813711554066,A.D,KL,lapl_gauss
181,100,lapl_gauss_KL_div_adapative_dantzig,0.754102624656,A.D,KL,lapl_gauss
182,100,lapl_gauss_KL_div_adapative_dantzig,0.614538690429,A.D,KL,lapl_gauss
183,100,lapl_gauss_KL_div_adapative_dantzig,0.764949770229,A.D,KL,lapl_gauss
184,100,lapl_gauss_KL_div_adapative_dantzig,0.664043736913,A.D,KL,lapl_gauss
185,100,lapl_gauss_KL_div_adapative_dantzig,1.01751697004,A.D,KL,lapl_gauss
186,100,lapl_gauss_KL_div_adapative_dantzig,0.88427181468,A.D,KL,lapl_gauss
187,100,lapl_gauss_KL_div_adapative_dantzig,0.817844508495,A.D,KL,lapl_gauss
188,100,lapl_gauss_KL_div_adapative_dantzig,0.764949770229,A.D,KL,lapl_gauss
189,100,lapl_gauss_KL_div_adapative_dantzig,0.613039097399,A.D,KL,lapl_gauss
190,100,lapl_gauss_KL_div_adapative_dantzig,0.813711554066,A.D,KL,lapl_gauss
191,100,lapl_gauss_KL_div_adapative_dantzig,0.664043736913,A.D,KL,lapl_gauss
192,100,lapl_gauss_KL_div_adapative_dantzig,0.702239757062,A.D,KL,lapl_gauss
193,100,lapl_gauss_KL_div_adapative_dantzig,0.811449187114,A.D,KL,lapl_gauss
